7806,Warner Home Video;PBS Home Video
7808,Omnigraphics
7814,David C. Cook
7817,Raven Press
7818,Hippocrene Books
7821,Sybex
7823,Educational Media Film & Video
7829,Resources for Christian Living
7831,HBO
7832,Universal Studios Home Entertainment
7835,Time-LifeBooks
7838,G. K. Hall
7840,Artisan Home Entertainment
7844,American Society of Civil Engineers
7847,Standard Publishing Company
7851,Marvel Comics
7852,Thomas Nelson Publishers
7858,Castle Books
7862,Thorndike Press
7863,Irwin Professional
7864,McFarland & Company
7867,Carroll & Graf Publishers
7868,Hyperion
7869,Wizards of the Coast
7872,Kendall/Hunt Publishing
7873,Mokelumme Press
7876,Gale Research
7879,Jossey-Bass Publishers
7880,Academic Renewal Press
7881,National Defence University Press
7884,Heritage Books
7885,Scholars Press
7886,MPI Media Group
7888,Buena Vista Home Entertainment
7890,Haworth Medical Press
7892,Abbeville Press
7893,Universe
7894,Dorling Kindersley
7895,Thomson Learning
7897,Que
7900,Reed Publishing(New Zealand)
7901,Shortland Publications
7906,Prompt Publications
7907,Warner Home Video
7910,Chelsea House Publishers
7913,Thomson Reuters
7914,State University of New York Press
7918,ASME Press (American Society of Mechanical Engineers)
7921,Paramount Home Video
7922,National Geographic Society
7923,Kluwer Academic Publishers
7928,MGM/UA Home Video
7931,Dearborn Trade
7935,G. Schirmer
7936,PBSHome Video
7942,Thirteen
7944,Reader's Digest
7957,Kwela Books
7962,Heinemann(South Africa)
7969,Human Sciences Research Council (South Africa)
7970,The Government Printer (South Africa)
7972,University of Stellenbosch
7974,various Zimbabwe imprints
7978,Government of Swaziland
7979,B. Britten (Swaziland)
7981,Human & Rousseau (South Africa)
7983,Africa Institute of South Africa
7989,Pretoria State Library
7992,University of Cape Town
7994,Via Afrika
8001,Columbia TriStar Home Video
8002,Falmer Press
8005,Bogden & Quigley
8006,Fortress Press
8007,Fleming H. Revell; Chosen Books
8008,Taplinger Publishing
8010,Baker Book House
8013,Longman(US division)
8014,Cornell University Press
8015,Hawthorn Books
8016,C. V. Mosby
8018,Johns Hopkins University Press
8019,Chilton Book Co.
8020,University of Toronto Press
8021,Grove Press
8022,Philosophical Library
8023,Dufour Editions
8024,Moody Publishers
8026,George Mason UniversityPress
8027,Walker and Company
8028,W. B. Eerdmans
8031,ASTM (American Society for Testing and Materials)
8032,University of Nebraska Press
8034,Avalon Books
8036,F. A. Davis Company
8037,Dial Press
8038,Focal Press(US division)
8039,Sage Publications
8040,Alan Swallow; Swallow Press
8041,Random House Large Print
8042,John Knox Press
8044,F. Ungar
8046,Kennikat Press
8047,Stanford University Press
8048,Charles E. Tuttle Company
8050,Henry Holt and Companyalso Metropolitan Books
8052,Schocken Books
8053,Benjamin Cummings
8054,Broadman Press; Broadman & Holman
8055,Hart Publishing
8057,Twayne Publishers
8058,Lawrence Erlbaum Associates, also Routledge
8059,Dorrance Publishing
8061,University of Oklahoma Press
8062,Carlton Press
8063,Genealogical Publishing
8065,Citadel Press
8066,Augsburg Publishing House
8067,Urban & Schwarzenberg
8069,Sterling Publishing
8070,Beacon Press
8071,Louisiana State University Press
8072,Random House
8074,Union of American Hebrew Congregations
8076,George Braziller
8077,Teacher's College Press
8078,University of North Carolina Press
8080,CCH Inc. (Commerce Clearing House Inc.)
8084,College & University Press
8087,Burgess Publishing
8089,Grune & Stratton
8090,Hill and Wang
8091,Paulist Press
8092,Contemporary Books
8093,Southern Illinois University Press
8094,Time-LifeBooks
8095,Borgo Press
8096,Association Press
8098,Tuttle Publishing
8101,Northwestern University Press
8102,Chandler Publishing
8103,Gale Research
8104,Hayden Books
8106,National Education Association
8108,Scarecrow Press
8109,Harry N. Abrams
8110,Northwestern University Press
8112,New Directions Publishing
8114,Raintree Steck-Vaughn
8115,Kraus Reprint
8116,Garrard
8117,Stackpole Books
8118,Chronicle Books
8120,Barron's Educational Series
8121,Lea and Febiger
8122,University of Pennsylvania Press
8125,Tom DohertyAssociates;Tor Books
8126,Open Court Publishing
8128,Stein and Day Publishers
8129,Quadrangle Books
8130,University of Florida Press
8131,University Press of Kentucky
8132,Catholic University of America Press
8133,Westview Press
8134,Interstate Printers & Publishers
8135,Rutgers University Press
8137,Geological Society of America
8138,Iowa State UniversityPress
8139,University Press of Virginia
8141,National Council of Teachers of English
8142,Ohio State University Press
8143,Wayne State University Press
8144,AMACOM (American Management Association)
8146,Liturgical Press
8147,New York University Press
8149,Vanguard Press
8150,Wittenborn
